date,symbol,action,timestamp,entry,close,profit,percentage,result,balance
2021-09-14 13:41:44,BAL,buy,1631626904000,25.71,29.5665,15,0.15,take profit,3451.052185
2021-09-14 16:13:40,AAVE,buy,1631636020000,384.7,346.23,-10,-0.1,stop loss,3968.710013
2021-09-15 11:58:48,BNB,buy,1631707128000,425.5,382.95,-10,-0.1,stop loss,3571.839012
2021-09-15 13:07:33,BTC,buy,1631711253000,47730.61,42957.549,-10,-0.1,stop loss,3214.65511
2021-09-15 17:35:27,SNX,buy,1631727327000,14.719,13.2471,-10,-0.1,stop loss,2893.189599
2021-09-16 16:20:05,AVAX,buy,1631809205000,66.46,59.814,-10,-0.1,stop loss,2603.870639
2021-09-16 17:00:50,SOL,buy,1631811650000,154.04,138.636,-10,-0.1,stop loss,2343.483576
2021-09-16 17:24:55,C98,buy,1631813095000,3.823,4.39645,15,0.15,take profit,2109.135218
2021-09-18 2:30:12,DYDX,buy,1631932212000,17.15,15.435,-10,-0.1,stop loss,2425.505501
2021-09-18 5:02:32,DOT,buy,1631941352000,35.19,31.671,-10,-0.1,stop loss,2182.954951
2021-09-18 14:15:56,ALGO,buy,1631974556000,2.0429,1.83861,-10,-0.1,stop loss,1964.659456
2021-09-18 17:03:31,FTT,buy,1631984611000,64.01,57.609,-10,-0.1,stop loss,1768.19351
2021-09-18 18:40:35,FTT,buy,1631990435000,64.01,57.609,-10,-0.1,stop loss,1591.374159
2021-09-19 3:34:22,BTC,buy,1632022462000,47844.88,43060.392,-10,-0.1,stop loss,1432.236743
2021-09-21 13:30:32,ETH,buy,1632231032000,3031.86,2728.674,-10,-0.1,stop loss,1289.013069
2021-09-22 15:33:06,AVAX,buy,1632324786000,67.8,77.97,15,0.15,take profit,1160.111762
